phillip_lippe	Phillip Lippe	RL / multimodal	Google DeepMind research scientist on Gemini RL/multimodal, known for UvA DL tutorials.
brhydon	Brydon Eastman	LLM training	Thinking Machines researcher, ex-OpenAI MTS working on LLM training.
stuart_sul	Stuart Sul	ML systems	Cursor ML research, prior HazyResearch work on ML systems.
mucai7	Mu Cai	multimodal	Thinking Machines researcher, prior DeepMind multimodal/agents work (LLaVA).
xingyousong	Richard Song	AutoML	Google DeepMind researcher on Gemini thinking and AutoML / black-box optimization.
robertriachi	Robert Riachi	generative models	Google DeepMind researcher on Veo, Imagen, world simulation.
m_finzi	Marc Finzi	generative models	OpenAI research scientist, known for equivariant networks and Bayesian deep learning.
em_dinan	Emily Dinan	dialogue / safety	FAIR engineer with substantive work on dialogue systems and safety.
ebetica	Zeming Lin	protein models	Co-founder EvolutionaryScale, core ESM3/ESMFold author, PyTorch contributor.
b_roziere	Baptiste Rozière	code generation	Mistral CodeGen lead, author of Code Llama and Codestral.
williambarrheld	Will Held	LLM training	Open LLM training researcher with PhD work under Diyi Yang on multilingual NLP.
rom1504	Romain Beaumont	multimodal data	DeepMind Gemini Video researcher, known for LAION / OpenCLIP / img2dataset.
yizhezhangnlp	Yizhe Zhang	text diffusion	Apple MLR manager working on text diffusion, latent reasoning, code generation.
nathanhabib1011	Nathan Habib	evaluation	HuggingFace evaluation engineer (Open LLM Leaderboard, lighteval).
lisabdunlap	Lisa Dunlap	evaluation	Berkeley AI researcher on model evals, prev LMArena.
jonas_eschmann	Jonas Eschmann	RL / robotics	Berkeley PhD student working on RL for continuous control (rl_tools).
alfcnz	Alfredo Canziani	deep learning education	NYU CS professor known for teaching deep learning (LeCun's course co-instructor) with substantive technical content.
pmddomingos	Pedro Domingos	ML theory	UW professor and author of "The Master Algorithm", known for foundational ML research.
docmilanfar	Peyman Milanfar	computational imaging	Google Distinguished Scientist working on computational imaging and AI, posts substantive technical threads.
yimatweets	Yi Ma	representation learning	HKU Chair Professor known for work on low-dimensional structures and unified theory of intelligence.
gabrielpeyre	Gabriel Peyré	computational math / optimal transport	CNRS researcher posting daily on computational mathematics, optimal transport, and ML.
srush_nlp	Sasha Rush	NLP / LLMs	Cornell/Cursor researcher known for substantive NLP and LLM technical content, tutorials, and open-source work.
csprofkgd	Kosta Derpanis	computer vision	York University CS professor and computer vision researcher active in CVPR/ECCV community.
thegautamkamath	Gautam Kamath	differential privacy	Waterloo CS professor working on private and trustworthy ML, posts substantive research content.
_luofuli	Fuli Luo	LLM training	Former DeepSeek researcher now at Xiaomi MiMo, posts on large language model training.
zizhpan	Zizheng Pan	efficiency / vision	DeepSeek researcher (prev NVIDIA) known for efficient vision transformers and model efficiency work.
kordinglab	Konrad Kording	computational neuroscience	Penn professor working on deep learning, causality, and neuroscience-ML intersection.
fhuszar	Ferenc Huszár	generative models	Cambridge professor with substantive ML theory and generative modeling threads.
tengyuma	Tengyu Ma	ML theory	Stanford assistant professor working on ML/DL/RL theory and LLMs, formerly Voyage AI on embeddings.
burkov	Andriy Burkov	ML education	PhD in AI, author of Hundred-Page ML/LM books, posts substantive ML educational content.
